official_symbol,aka
HOXD1,HOX4
HOXD1,HOX4G
HOXD1,Hox-4.7
HOXD3,HOX4
HOXD3,HOX1D
HOXD3,HOX4A
HOXD3,Hox-4.1
HOXD4,HOX4
HOXD4,HOX4B
HOXD4,HHO.C13
HOXD4,HOX-5.1
HOXD4,Hox-4.2
HOXD8,HOX4
HOXD8,HOX4E
HOXD8,HOX5.4
HOXD9,HOX4
HOXD9,HOX4C
HOXD9,Hox-4.3
HOXD9,Hox-5.2
HOXD10,HOX4
HOXD10,HOX4D
HOXD10,HOX4E
HOXD10,Hox-4.4
HOXD11,HOX4
HOXD11,HOX4F
HOXD12,HOX4H
HOXD13,BDE
HOXD13,SPD
HOXD13,BDSD
HOXD13,SPD1
HOXD13,HOX4I
HSF1,HSTF1
HSF2,HSF 2
HSF2,HSTF 2
HSF4,CTM
HSF4,CTRCT5
HSF5,HSF 5
HSF5,HSTF 5
HSFX1,LW-1
HSFY1,HSFY
HSFY1,HSF2L
IKZF1,IK1
IKZF1,LYF1
IKZF1,LyF-1
IKZF1,CVID13
IKZF1,IKAROS
IKZF1,PPP1R92
IKZF1,PRO0758
IKZF1,ZNFN1A1
IKZF1,Hs.54452
IKZF2,ANF1A2
IKZF2,HELIOS
IKZF2,ZNF1A2
IKZF2,ZNFN1A2
IKZF3,AIO
IKZF3,IMD84
IKZF3,AIOLOS
IKZF3,ZNFN1A3
IKZF4,EOS
IKZF4,ZNFN1A4
IKZF5,THC7
IKZF5,PEGASUS
IKZF5,ZNFN1A5
INSM1,IA1
INSM1,IA-1
INSM2,IA6
INSM2,IA-6
INSM2,mlt1
IRF1,MAR
IRF1,IRF-1
IRF2,IRF-2
IRF3,IIAE7
IRF4,MUM1
IRF4,LSIRF
IRF4,SHEP8
IRF4,NF-EM5
IRF5,SLEB10
IRF6,LPS
IRF6,PIT
IRF6,PPS
IRF6,VWS
IRF6,OFC6
IRF6,PPS1
IRF6,VWS1
IRF7,IMD39
IRF7,IRF-7
IRF7,IRF7A
IRF7,IRF7B
IRF7,IRF7C
IRF7,IRF7H
IRF7,IRF-7H
IRF8,ICSBP
IRF8,IRF-8
IRF8,ICSBP1
IRF8,IMD32A
IRF8,IMD32B
IRF8,H-ICSBP
IRF9,p48
IRF9,IRF-9
IRF9,ISGF3
IRF9,ISGF3G
IRX1,IRX-5
IRX1,IRXA1
IRX2,IRXA2
IRX3,IRX-1
IRX3,IRXB1
IRX4,IRXA3
IRX5,HMMS
IRX5,IRXB2
IRX5,IRX-2a
IRX6,IRX7
IRX6,IRX-3
IRX6,IRXB3
ISL1,Isl-1
ISL1,ISLET1
ISX,Pix-1
ISX,RAXLX
JAZF1,TIP27
JAZF1,ZNF802
JDP2,JUNDM2
JRK,JH8
JRK,jerky
JRKL,HHMJG
JUN,AP1
JUN,p39
JUN,AP-1
JUN,cJUN
JUN,c-Jun
JUNB,AP-1
JUND,AP-1
KAT7,HBO1
KAT7,HBOA
KAT7,MYST2
KAT7,ZC2HC7
KCMF1,FIGC
KCMF1,PCMF
KCMF1,ZZZ1
KCMF1,DEBT91
KCNIP3,CSEN
KCNIP3,DREAM
KCNIP3,KCHIP3
KDM2A,FBL7
KDM2A,CXXC8
KDM2A,FBL11
KDM2A,FBXL11
KDM2A,JHDM1A
KDM2A,LILINA
KDM2B,CXXC2
KDM2B,Fbl10
KDM2B,PCCX2
KDM2B,FBXL10
KDM2B,JHDM1B
KDM5B,CT31
KDM5B,PLU1
KDM5B,PUT1
KDM5B,MRT65
KDM5B,PLU-1
KDM5B,JARID1B
KDM5B,PPP1R98
KDM5B,RBP2-H1
KDM5B,RBBP2H1A
KIN,BTCD
KIN,Rts2
KIN,KIN17
KLF1,EKLF
KLF1,EKLF/KLF1
KLF2,LKLF
KLF3,BKLF
KLF4,EZF
KLF4,GKLF
KLF5,CKLF
KLF5,IKLF
KLF5,BTEB2
KLF6,GBF
KLF6,ZF9
KLF6,BCD1
KLF6,CBA1
KLF6,CPBP
KLF6,PAC1
KLF6,ST12
KLF6,COPEB
KLF7,UKLF
KLF8,BKLF3
KLF8,ZNF741
KLF9,BTEB
KLF9,BTEB1
KLF10,EGRA
KLF10,TIEG
KLF10,TIEG1
KLF10,EGR-alpha
KLF11,FKLF
KLF11,FKLF1
KLF11,MODY7
KLF11,TIEG2
KLF11,Tieg3
KLF12,AP2REP
KLF12,AP-2rep
KLF12,HSPC122
KLF13,BTEB3
KLF13,FKLF2
KLF13,NSLP1
KLF13,RFLAT1
KLF13,RFLAT-1
KLF14,BTEB5
KLF15,KKLF
KLF16,DRRF
KLF16,BTEB4
KLF16,NSLP2
KLF17,ZLF393
KLF17,ZNF393
KLF17,Zfp393
KMT2A,HRX
KMT2A,MLL
KMT2A,MLL1
KMT2A,TRX1
KMT2A,ALL-1
KMT2A,CXXC7
KMT2A,HTRX1
KMT2A,MLL1A
KMT2A,WDSTS
KMT2B,HRX2
KMT2B,MLL2
KMT2B,MLL4
KMT2B,TRX2
KMT2B,WBP7
KMT2B,DYT28
KMT2B,MLL1B
KMT2B,WBP-7
KMT2B,CXXC10
L3MBTL1,L3MBTL
L3MBTL1,ZC2HC3
L3MBTL1,H-L(3)MBT
L3MBTL1,dJ138B7.3
L3MBTL3,MBT1
L3MBTL3,MBT-1
L3MBTL4,HsT1031
LBX1,HPX6
LBX1,CCHS3
LBX1,HPX-6
LBX1,LBX1H
LBX1,homeobox
LBX2,LP3727
LCOR,MLR2
LCOR,C10orf12
LCORL,MLR1
LEF1,LEF-1
LEF1,TCF10
LEF1,TCF7L3
LEF1,TCF1ALPHA
LHX1,LIM1
LHX1,LIM-1
LHX2,LH2
LHX2,hLhx2
LHX3,LIM3
LHX3,CPHD3
LHX3,M2-LHX3
LHX4,CPHD4
LHX6,LHX6.1
LHX8,LHX7
LIN28A,CSDD1
LIN28A,LIN28
LIN28A,LIN-28
LIN28A,ZCCHC1
LIN28A,lin-28A
LIN28B,CSDD2
LIN54,TCX1
LIN54,JC8.6
LIN54,CXCDC1
LIN54,MIP120
LMX1A,LMX1
LMX1A,DFNA7
LMX1A,LMX1.1
LMX1B,NPS1
LMX1B,FSGS10
LMX1B,LMX1.2
LTF,LF
LTF,HLF2
LTF,GIG12
LTF,HEL110
LYL1,bHLHa18
MAF,CCA4
MAF,AYGRP
MAF,c-MAF
MAF,CTRCT21
MAFA,INSDM
MAFA,hMafA
MAFA,RIPE3b1
MAFB,KRML
MAFB,MCTO
MAFB,DURS3
MAFF,U-MAF
MAFF,hMafF
MAFG,hMAF
MAFK,P18
MAFK,NFE2U
MAX,bHLHd4
MAZ,PUR1
MAZ,ZF87
MAZ,Pur-1
MAZ,SAF-1
MAZ,SAF-2
MAZ,SAF-3
MAZ,Zif87
MAZ,ZNF801
MBD1,RFT
MBD1,PCM1
MBD1,CXXC3
MBD2,DMTase
MBD2,NY-CO-41
MBD4,MED1
MBNL2,MBLL
MBNL2,MBLL39
MBNL2,PRO2032
MECOM,EVI1
MECOM,MDS1
MECOM,KMT8E
MECOM,PRDM3
MECOM,RUSAT2
MECOM,MDS1-EVI1
MECOM,AML1-EVI-1
MECP2,RS
MECP2,RTS
MECP2,RTT
MECP2,PPMX
MECP2,MRX16
MECP2,MRX79
MECP2,MRXSL
MECP2,AUTSX3
MECP2,MRXS13
MEF2A,mef2
MEF2A,ADCAD1
MEF2A,RSRFC4
MEF2A,RSRFC9
MEF2B,RSRFR2
MEF2C,NEDHSIL
MEF2C,DEL5q14.3
MEF2C,C5DELq14.3
MEIS2,MRG1
MEIS2,CPCMR
MEIS2,HsT18361
MEIS3,MRG2
MEOX1,KFS2
MEOX1,MOX1
MEOX2,GAX
MEOX2,MOX2
MESP1,bHLHc5
MESP2,SCDO2
MESP2,bHLHc6
MGA,MAD5
MGA,MXD5
MITF,MI
MITF,WS2
MITF,CMM8
MITF,WS2A
MITF,COMMAD
MITF,MITF-A
MITF,bHLHe32
MIXL1,MIX
MIXL1,MIXL
MIXL1,MILD1
MKX,IFRX
MKX,IRXL1
MKX,C10orf48
MLX,TF4
MLX,MAD7
MLX,MXD7
MLX,TCFL4
MLX,bHLHd13
MLXIP,MIR
MLXIP,MONDOA
MLXIP,bHLHe36
MLXIPL,MIO
MLXIPL,MLX
MLXIPL,CHREBP
MLXIPL,MONDOB
MLXIPL,WBSCR14
MLXIPL,WS-bHLH
MLXIPL,bHLHd14
MNT,ROX
MNT,MAD6
MNT,MXD6
MNT,bHLHd3
MNT,lncRNA-HAL
MNX1,HB9
MNX1,HLXB9
MNX1,SCRA1
MNX1,HOXHB9
MSANTD1,C4orf44
MSANTD3,L8
MSANTD3,C9orf30
MSANTD4,KIAA1826
MSC,ABF1
MSC,MYOR
MSC,ABF-1
MSC,bHLHa22
MSGN1,MSOG
MSGN1,pMsgn1
MSX1,HOX7
MSX1,HYD1
MSX1,ECTD3
MSX1,STHAG1
MSX2,FPP
MSX2,MSH
MSX2,PFM
MSX2,CRS2
MSX2,HOX8
MSX2,PFM1
MTERF1,MTERF
MTERF2,mTERFL
MTERF2,MTERFD3
MTERF3,CGI-12
MTERF3,MTERFD1
MTERF4,MTERFD2
MTF1,ZRF
MTF1,MTF-1
MTF2,M96
MTF2,PCL2
MTF2,TDRD19A
MTF2,dJ976O13.2
MXD1,MAD
MXD1,MAD1
MXD1,BHLHC58
MXD3,MYX
MXD3,MAD3
MXD3,BHLHC13
MXD4,MAD4
MXD4,MST149
MXD4,MSTP149
MXD4,bHLHc12
MXI1,MXI
MXI1,MAD2
MXI1,MXD2
MXI1,bHLHc11
MYB,efg
MYB,Cmyb
MYB,c-myb
MYB,c-myb_CDS
MYBL1,AMYB
MYBL1,A-MYB
MYBL2,BMYB
MYBL2,B-MYB
MYC,MRTL
MYC,MYCC
MYC,c-Myc
MYC,bHLHe39
MYCL,LMYC
MYCL,L-Myc
MYCL,MYCL1
MYCL,bHLHe38
MYCN,NMYC
MYCN,ODED
MYCN,MODED
MYCN,N-myc
MYCN,bHLHe37
MYF5,EORVA
MYF5,bHLHc2
MYF6,CNM3
MYF6,MRF4
MYF6,myf-6
MYF6,bHLHc4
MYNN,OSZF
MYNN,SBBIZ1
MYNN,ZBTB31
MYNN,ZNF902
MYOD1,PUM
MYOD1,MYF3
MYOD1,MYOD
MYOD1,bHLHc1
MYOD1,MYODRIF
MYOG,MYF4
MYOG,myf-4
MYOG,bHLHc3
MYPOP,P42pop
MYRF,MRF
MYRF,CUGS
MYRF,MMERV
MYRF,Ndt80
MYRF,11orf9
MYRF,pqn-47
MYRF,C11orf9
MYRFL,bcm1377
MYRFL,C12orf15
MYRFL,C12orf28
MYSM1,2ADUB
MYSM1,BMFS4
MYSM1,2A-DUB
MYT1,MTF1
MYT1,MYTI
MYT1,NZF2
MYT1,PLPB1
MYT1,ZC2H2C1
MYT1,ZC2HC4A
MYT1,C20orf36
MYT1L,NZF1
MYT1L,MRD39
MYT1L,myT1-L
MYT1L,ZC2H2C2
MYT1L,ZC2HC4B
MZF1,MZF-1
MZF1,MZF1B
MZF1,ZFP98
MZF1,ZNF42
MZF1,ZSCAN6
NACC2,RBB
NACC2,BEND9
NACC2,NAC-2
NACC2,BTBD14
NACC2,BTBD31
NACC2,BTBD14A
NAIF1,C9orf90
NAIF1,bA379C10.2
NANOGP8,PN8
NANOGP8,NANOGP1
NCOA1,SRC1
NCOA1,KAT13A
NCOA1,RIP160
NCOA1,F-SRC-1
NCOA1,bHLHe42
NCOA1,bHLHe74
NCOA2,SRC2
NCOA2,TIF2
NCOA2,GRIP1
NCOA2,KAT13C
NCOA2,NCoA-2
NCOA2,bHLHe75
NCOA3,ACTR
NCOA3,AIB1
NCOA3,RAC3
NCOA3,SRC3
NCOA3,pCIP
NCOA3,AIB-1
NCOA3,CTG26
NCOA3,SRC-3
NCOA3,CAGH16
NCOA3,KAT13B
NCOA3,TNRC14
NCOA3,TNRC16
NCOA3,TRAM-1
NCOA3,bHLHe42
NEUROD1,T2D
NEUROD1,BETA2
NEUROD1,BHF-1
NEUROD1,MODY6
NEUROD1,NEUROD
NEUROD1,bHLHa3
NEUROD2,NDRF
NEUROD2,DEE72
NEUROD2,EIEE72
NEUROD2,bHLHa1
NEUROD4,ATH3
NEUROD4,ATH-3
NEUROD4,Atoh3
NEUROD4,MATH3
NEUROD4,MATH-3
NEUROD4,bHLHa4
NEUROD6,Nex1
NEUROD6,Atoh2
NEUROD6,MATH2
NEUROD6,NEX1M
NEUROD6,Math-2
NEUROD6,bHLHa2
NEUROG1,AKA
NEUROG1,ngn1
NEUROG1,Math4C
NEUROG1,bHLHa6
NEUROG1,NEUROD3
NEUROG2,NGN2
NEUROG2,Atoh4
NEUROG2,ngn-2
NEUROG2,Math4A
NEUROG2,bHLHa8
NEUROG3,ngn3
NEUROG3,Atoh5
NEUROG3,NGN-3
NEUROG3,Math4B
NEUROG3,bHLHa7
NFAT5,NFATZ
NFAT5,OREBP
NFAT5,NF-AT5
NFAT5,NFATL1
NFAT5,TONEBP
NFATC1,NFAT2
NFATC1,NFATc
NFATC1,NF-ATC
NFATC1,NF-ATc1.2
NFATC2,NFAT1
NFATC2,NFATP
NFATC3,NFAT4
NFATC3,NFATX
NFATC3,NF-AT4c
NFATC4,NFAT3
NFATC4,NF-AT3
NFATC4,NF-ATC4
NFE2,p45
NFE2,NF-E2
NFE2L1,NRF1
NFE2L1,NRF-1
NFE2L1,TCF11
NFE2L1,LCR-F1
NFE2L2,NRF2
NFE2L2,HEBP1
NFE2L2,Nrf-2
NFE2L2,IMDDHH
NFE2L3,NRF3
NFE4,NF-E4
NFIA,CTF
NFIA,NF1-A
NFIA,NFI-A
NFIA,NFI-L
NFIA,BRMUTD
NFIA,NF-I/A
NFIB,CTF
NFIB,MACID
NFIB,NF1-B
NFIB,NFI-B
NFIB,NFIB2
NFIB,NFIB3
NFIB,NF-I/B
NFIB,NFI-RED
NFIB,HMGIC/NFIB
NFIC,CTF
NFIC,NFI
NFIC,CTF5
NFIC,NF-I
NFIL3,E4BP4
NFIL3,IL3BP1
NFIL3,NFIL3A
NFIL3,NF-IL3A
NFIX,CTF
NFIX,NF1A
NFIX,NF1-X
NFIX,MRSHSS
NFIX,NF-I/X
NFIX,SOTOS2
NFKB1,KBF1
NFKB1,EBP-1
NFKB1,NF-kB
NFKB1,CVID12
NFKB1,NF-kB1
NFKB1,NFKB-p50
NFKB1,NFkappaB
NFKB1,NF-kappaB
NFKB1,NFKB-p105
NFKB1,NF-kappa-B1
NFKB1,NF-kappabeta
NFKB2,p52
NFKB2,p100
NFKB2,H2TF1
NFKB2,LYT10
NFKB2,CVID10
NFKB2,LYT-10
NFKB2,NF-kB2
NFKB2,p49/p100
NFX1,NFX2
NFX1,Tex42
NFX1,TEG-42
NFXL1,OZFP
NFXL1,CDZFP
NFXL1,HOZFP
NFXL1,URCC5
NFYA,HAP2
NFYA,CBF-A
NFYA,CBF-B
NFYA,NF-YA
NFYB,HAP3
NFYB,CBF-A
NFYB,CBF-B
NFYB,NF-YB
NFYC,HSM
NFYC,CBFC
NFYC,HAP5
NFYC,CBF-C
NFYC,NF-YC
NFYC,H1TF2A
NHLH1,HEN1
NHLH1,NSCL
NHLH1,NSCL1
NHLH1,bHLHa35
NHLH2,HEN2
NHLH2,NSCL2
NHLH2,bHLHa34
NKRF,NRF
NKRF,ITBA4
NKX1-1,SAX2
NKX1-1,HSPX153
NKX1-1,NKX-1.1
NKX1-2,NKX-1.1
NKX1-2,C10orf121
NKX1-2,bB238F13.2
NKX2-1,BCH
NKX2-1,BHC
NKX2-1,NK-2
NKX2-1,TEBP
NKX2-1,TTF1
NKX2-1,NKX2A
NKX2-1,NMTC1
NKX2-1,T/EBP
NKX2-1,TITF1
NKX2-1,TTF-1
NKX2-1,NKX2.1
NKX2-2,NKX2B
NKX2-2,NKX2.2
NKX2-3,CSX3
NKX2-3,NK2.3
NKX2-3,NKX2C
NKX2-3,NKX2.3
NKX2-3,NKX4-3
NKX2-4,NKX2D
NKX2-4,NKX2.4
NKX2-5,CSX
NKX2-5,CSX1
NKX2-5,VSD3
NKX2-5,CHNG5
NKX2-5,HLHS2
NKX2-5,NKX2E
NKX2-5,NKX2.5
NKX2-5,NKX4-1
NKX2-6,CSX2
NKX2-6,CTHM
NKX2-6,NKX2F
NKX2-6,NKX4-2
NKX2-8,NKX2H
NKX2-8,NKX2.8
NKX2-8,Nkx2-9
NKX3-1,NKX3
NKX3-1,BAPX2
NKX3-1,NKX3A
NKX3-1,NKX3.1
NKX3-2,SMMD
NKX3-2,BAPX1
NKX3-2,NKX3B
NKX3-2,NKX3.2
NKX6-1,NKX6A
NKX6-1,NKX6.1
NKX6-2,GTX
NKX6-2,NKX6B
NKX6-2,SPAX8
NKX6-2,NKX6.2
NKX6-3,NKX6.3
NME2,PUF
NME2,NDKB
NME2,NDPKB
NME2,NM23B
NME2,NDPK-B
NME2,NM23-H2
NOBOX,OG2
NOBOX,OG-2
NOBOX,OG2X
NOBOX,POF5
NOBOX,TCAG_12042
NPAS1,MOP5
NPAS1,PASD5
NPAS1,bHLHe11
NPAS2,MOP4
NPAS2,PASD4
NPAS2,bHLHe9
NPAS3,MOP6
NPAS3,PASD6
NPAS3,bHLHe12
NPAS4,NXF
NPAS4,Le-PAS
NPAS4,PASD10
NPAS4,bHLHe79
NR1D1,EAR1
NR1D1,hRev
NR1D1,THRA1
NR1D1,THRAL
NR1D1,ear-1
NR1D1,REVERBA
NR1D1,REVERBalpha
NR1D2,RVR
NR1D2,BD73
NR1D2,EAR-1R
NR1D2,REVERBB
NR1D2,REVERBbeta
NR1H2,NER
NR1H2,UNR
NR1H2,LXRB
NR1H2,LXR-b
NR1H2,NER-I
NR1H2,RIP15
NR1H3,LXRA
NR1H3,LXR-a
NR1H3,RLD-1
NR1H4,BAR
NR1H4,FXR
NR1H4,HRR1
NR1H4,HRR-1
NR1H4,PFIC5
NR1H4,RIP14
NR1I2,BXR
NR1I2,PAR
NR1I2,PRR
NR1I2,PXR
NR1I2,SAR
NR1I2,SXR
NR1I2,ONR1
NR1I2,PAR1
NR1I2,PAR2
NR1I2,PARq
NR1I3,CAR
NR1I3,CAR1
NR1I3,MB67
NR2C1,TR2
NR2C2,TR4
NR2C2,TAK1
NR2E1,TLL
NR2E1,TLX
NR2E1,XTLL
NR2E3,PNR
NR2E3,RNR
NR2E3,rd7
NR2E3,ESCS
NR2E3,RP37
NR2F1,EAR3
NR2F1,BBOAS
NR2F1,EAR-3
NR2F1,SVP44
NR2F1,BBSOAS
NR2F1,ERBAL3
NR2F1,COUPTF1
NR2F1,TFCOUP1
NR2F1,COUP-TFI
NR2F1,TCFCOUP1
NR2F2,ARP1
NR2F2,ARP-1
NR2F2,CHTD4
NR2F2,NF-E3
NR2F2,SRXX5
NR2F2,SVP40
NR2F2,COUPTF2
NR2F2,COUPTFB
NR2F2,TFCOUP2
NR2F2,COUPTFII
NR2F6,EAR2
NR2F6,EAR-2
NR2F6,ERBAL2
NR3C1,GR
NR3C1,GCR
NR3C1,GRL
NR3C1,GCCR
NR3C1,GCRST
NR3C2,MR
NR3C2,MCR
NR3C2,MLR
NR3C2,NR3C2VIT
NR4A1,HMR
NR4A1,N10
NR4A1,TR3
NR4A1,NP10
NR4A1,GFRP1
NR4A1,NAK-1
NR4A1,NGFIB
NR4A1,NUR77
NR4A2,NOT
NR4A2,RNR1
NR4A2,HZF-3
NR4A2,NURR1
NR4A2,TINUR
NR4A3,CHN
NR4A3,CSMF
NR4A3,NOR1
NR4A3,MINOR
NR5A1,ELP
NR5A1,SF1
NR5A1,FTZ1
NR5A1,POF7
NR5A1,SF-1
NR5A1,AD4BP
NR5A1,FTZF1
NR5A1,SPGF8
NR5A1,SRXX4
NR5A1,SRXY3
NR5A1,hSF-1
NR5A2,B1F
NR5A2,CPF
NR5A2,FTF
NR5A2,B1F2
NR5A2,LRH1
NR5A2,LRH-1
NR5A2,FTZ-F1
NR5A2,hB1F-2
NR5A2,FTZ-F1beta
NR6A1,RTR
NR6A1,GCNF
NR6A1,NR61
NR6A1,hRTR
NR6A1,CT150
NR6A1,GCNF1
NR6A1,hGCNF
NR0B1,AHC
NR0B1,AHX
NR0B1,DSS
NR0B1,GTD
NR0B1,HHG
NR0B1,AHCH
NR0B1,DAX1
NR0B1,DAX-1
NR0B1,NROB1
NR0B1,SRXY2
NRF1,ALPHA-PAL
NRL,RP27
NRL,D14S46E
NRL,NRL-MAF
OLIG1,BHLHB6
OLIG1,BHLHE21
OLIG2,BHLHB1
OLIG2,OLIGO2
OLIG2,RACK17
OLIG2,PRKCBP2
OLIG2,bHLHe19
OLIG3,Bhlhb7
OLIG3,bHLHe20
ONECUT1,HNF6
ONECUT1,HNF-6
ONECUT1,HNF6A
ONECUT2,OC2
ONECUT2,OC-2
ONECUT3,OC3
OSR1,ODD
OTX2,CPHD6
OTX2,MCOPS5
OVOL1,HOVO1
OVOL2,CHED
OVOL2,CHED1
OVOL2,CHED2
OVOL2,PPCD1
OVOL2,ZNF339
OVOL2,EUROIMAGE566589
OVOL3,HOVO3
PA2G4,EBP1
PA2G4,HG4-1
PA2G4,p38-2G4
PATZ1,ZSG
PATZ1,MAZR
PATZ1,PATZ
PATZ1,RIAZ
PATZ1,ZBTB19
PATZ1,ZNF278
PATZ1,dJ400N23
PAX1,OFC2
PAX1,HUP48
PAX2,FSGS7
PAX2,PAPRS
PAX3,WS1
PAX3,WS3
PAX3,CDHS
PAX3,HUP2
PAX4,KPD
PAX4,MODY9
PAX5,ALL3
PAX5,BSAP
PAX6,AN
PAX6,AN1
PAX6,AN2
PAX6,FVH1
PAX6,MGDA
PAX6,WAGR
PAX6,ASGD5
PAX6,D11S812E
PAX7,HUP1
PAX7,RMS2
PAX7,PAX7B
PAX7,MYOSCO
PAX9,STHAG3
PBX1,CAKUHED
PBX2,G17
PBX2,HOX12
PBX2,PBX2MHC
PCGF2,TPFS
PCGF2,MEL-18
PCGF2,RNF110
PCGF2,ZNF144
PCGF6,MBLR
PCGF6,RNF134
PDX1,GSF
PDX1,IPF1
PDX1,IUF1
PDX1,IDX-1
PDX1,MODY4
PDX1,PDX-1
PDX1,STF-1
PDX1,PAGEN1
PEG3,PW1
PEG3,ZNF904
PEG3,ZSCAN24
PEG3,ZKSCAN22
PGR,PR
PGR,NR3C3
PHF1,PCL1
PHF1,PHF2
PHF1,hPHF1
PHF1,MTF2L2
PHF1,TDRD19C
PHF19,PCL3
PHF19,MTF2L1
PHF19,TDRD19B
PHF20,NZF
PHF20,TZP
PHF20,GLEA2
PHF20,HCA58
PHF20,TDRD20A
PHF20,C20orf104
PHF21A,BHC80
PHF21A,NEDMS
PHF21A,BM-006
PHF21A,IDDBCS
PHOX2A,ARIX
PHOX2A,FEOM2
PHOX2A,NCAM2
PHOX2A,PMX2A
PHOX2A,CFEOM2
PHOX2B,CCHS
PHOX2B,PMX2B
PHOX2B,NBLST2
PHOX2B,NBPhox
PIN1,DOD
PIN1,UBL5
PITX1,BFT
PITX1,CCF
PITX1,POTX
PITX1,PTX1
PITX1,LBNBG
PITX2,RS
PITX2,RGS
PITX2,ARP1
PITX2,Brx1
PITX2,IDG2
PITX2,IGDS
PITX2,IHG2
PITX2,PTX2
PITX2,RIEG
PITX2,ASGD4
PITX2,IGDS2
PITX2,IRID2
PITX2,Otlx2
PITX2,RIEG1
PITX3,ASMD
PITX3,ASOD
PITX3,PTX3
PITX3,ASGD1
PITX3,CTPP4
PITX3,CTRCT11
PKNOX1,PREP1
PKNOX1,pkonx1c
PKNOX2,PREP2
PLAG1,PSA
PLAG1,SGPA
PLAG1,SRS4
PLAG1,ZNF912
PLAGL1,ZAC
PLAGL1,LOT1
PLAGL1,ZAC1
PLAGL2,ZNF900
PLSCR1,MMTRA1B
POGK,BASS2
POGK,KRBOX2
POGK,LST003
POU1F1,PIT1
POU1F1,CPHD1
POU1F1,GHF-1
POU1F1,Pit-1
POU1F1,POU1F1a
POU2AF1,BOB1
POU2AF1,OBF1
POU2AF1,OCAB
POU2AF1,OBF-1
POU2F1,OCT1
POU2F1,OTF1
POU2F1,Oct1Z
POU2F1,oct-1B
POU2F2,OCT2
POU2F2,OTF2
POU2F2,Oct-2
POU2F3,PLA1
POU2F3,OCT11
POU2F3,PLA-1
POU2F3,Epoc-1
POU2F3,OCT-11
POU2F3,OTF-11
POU2F3,Skn-1a
POU3F1,OCT6
POU3F1,OTF6
POU3F1,SCIP
POU3F2,BRN2
POU3F2,OCT7
POU3F2,OTF7
POU3F2,OTF-7
POU3F2,POUF3
POU3F2,brn-2
POU3F2,oct-7
POU3F2,N-Oct3
POU3F3,BRN1
POU3F3,OTF8
POU3F3,oct-8
POU3F3,SNIBFIS
POU3F3,brain-1
POU3F4,BRN4
POU3F4,DFN3
POU3F4,OTF9
POU3F4,BRN-4
POU3F4,DFNX2
POU3F4,OCT-9
POU3F4,OTF-9
POU3F4,BRAIN-4
POU4F1,BRN3A
POU4F1,RDC-1
POU4F1,ATITHS
POU4F1,Oct-T1
POU4F1,brn-3A
POU4F2,BRN3B
POU4F2,BRN3.2
POU4F2,Brn-3b
POU4F3,BRN3C
POU4F3,DFNA15
POU4F3,DFNA42
POU4F3,DFNA52
POU5F1,OCT3
POU5F1,OCT4
POU5F1,OTF3
POU5F1,OTF4
POU5F1,OTF-3
POU5F1,Oct-3
POU5F1,Oct-4
POU5F1B,OTF3C
POU5F1B,OTF3P1
POU5F1B,OCT4PG1
POU5F1B,OCT4-PG1
POU5F1B,POU5F1P1
POU5F1B,POU5F1P4
POU5F1B,POU5FLC8
POU5F1B,POU5FLC20
POU5F2,SPRM-1
POU6F1,BRN5
POU6F1,MPOU
POU6F1,TCFB1
POU6F2,WT5
POU6F2,WTSL
POU6F2,RPF-1
PPARA,PPAR
PPARA,NR1C1
PPARA,hPPAR
PPARA,PPARalpha
PPARA,PPAR-alpha
PPARD,FAAR
PPARD,NUC1
PPARD,NUCI
PPARD,NR1C2
PPARD,NUCII
PPARD,PPARB
PPARG,GLM1
PPARG,CIMT1
PPARG,NR1C3
PPARG,PPARG1
PPARG,PPARG2
PPARG,PPARG5
PPARG,PPARgamma
PRDM1,BLIMP1
PRDM1,PRDI-BF1
PRDM2,RIZ
PRDM2,KMT8
PRDM2,RIZ1
PRDM2,RIZ2
PRDM2,KMT8A
PRDM2,MTB-ZF
PRDM2,HUMHOXY1
PRDM4,PFM1
PRDM5,BCS2
PRDM5,PFM2
PRDM6,PDA3
PRDM6,KMT8C
PRDM6,PRISM
PRDM8,PFM5
PRDM8,EPM10
PRDM8,KMT8D
PRDM9,PFM6
PRDM9,KMT8B
PRDM9,MSBP3
PRDM9,ZNF899
PRDM9,MEISETZ
PRDM10,PFM7
PRDM10,TRIS
PRDM12,PFM9
PRDM12,HSAN8
PRDM13,PFM10
PRDM13,MU-MB-20.220
PRDM14,PFM11
PRDM15,PFM15
PRDM15,ZNF298
PRDM15,C21orf83
PRDM16,MEL1
PRDM16,KMT8F
PRDM16,LVNC8
PRDM16,PFM13
PRDM16,CMD1LL
PREB,SEC12
PRMT3,HRMT1L3
PROP1,CPHD2
PROP1,PROP-1
PROX2,PROX-2
PRR12,NOC
PRR12,KIAA1205
PRRX1,PMX1
PRRX1,PRX1
PRRX1,AGOTC
PRRX1,PHOX1
PRRX1,PRX-1
PRRX2,PMX2
PRRX2,PRX2
PTF1A,p48
PTF1A,PACA
PTF1A,PAGEN2
PTF1A,bHLHa29
PTF1A,PTF1-p48
PURA,PUR1
PURA,MRD31
PURA,NEDRIHF
PURA,PURALPHA
PURA,PUR-ALPHA
PURB,PURBETA
PURG,PURGA
PURG,PURGB
PURG,PURG-A
PURG,PURG-B
RAG1,RAG-1
RAG1,RNF74
RARA,RAR
RARA,NR1B1
RARB,HAP
